#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_009685195.1	PRJNA224116	SAMN12748973		representative genome	134	134	Methylocystis parvus	strain=BRCS2		latest	Complete Genome	Major	Full	2019/11/21	ASM968519v1	SBRC Nottingham	GCA_009685195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/685/195/GCF_009685195.1_ASM968519v1			na
GCF_002083055.2	PRJNA224116	SAMN04875533	NBTP00000000.2	na	139	139	Borreliella burgdorferi	strain=FDAARGOS_196		latest	Contig	Major	Full	2018/01/19	ASM208305v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_002083055.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/055/GCF_002083055.2_ASM208305v2		assembly from type material	na
GCF_002151465.1	PRJNA224116	SAMN03269135		na	139	139	Borreliella burgdorferi	strain=PAli	yes	latest	Complete Genome	Major	Full	2017/05/19	ASM215146v1	Bavarian Health and Food Safety Authority	GCA_002151465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1			na
GCF_002151485.1	PRJNA224116	SAMN03269134		na	139	139	Borreliella burgdorferi	strain=PAbe		latest	Complete Genome	Major	Full	2017/05/19	ASM215148v1	Bavarian Health and Food Safety Authority	GCA_002151485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/485/GCF_002151485.1_ASM215148v1			na
GCF_002151505.1	PRJNA224116	SAMN06324250		na	139	139	Borreliella burgdorferi	strain=B31_NRZ	B31	latest	Complete Genome	Major	Full	2017/05/19	ASM215150v1	Bavarian Health and Food Safety Authority	GCA_002151505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/505/GCF_002151505.1_ASM215150v1		assembly from type material	na
GCF_002442595.2	PRJNA224116	SAMN05763278		na	139	139	Borreliella burgdorferi	strain=B331		latest	Complete Genome	Major	Full	2021/05/20	ASM244259v2	New York Medical College	GCA_002442595.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/442/595/GCF_002442595.2_ASM244259v2			na
GCF_002995865.1	PRJNA224116	SAMN08049249	PHOD00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-93		latest	Contig	Major	Full	2018/03/14	ASM299586v1	Public Health Agency of Canada	GCA_002995865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/995/865/GCF_002995865.1_ASM299586v1			na
GCF_002995885.1	PRJNA224116	SAMN08049240	PHOM00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-60-1		latest	Contig	Major	Full	2018/03/14	ASM299588v1	Public Health Agency of Canada	GCA_002995885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/995/885/GCF_002995885.1_ASM299588v1			na
GCF_002995905.1	PRJNA224116	SAMN08049234	PHOS00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-49		latest	Contig	Major	Full	2018/03/14	ASM299590v1	Public Health Agency of Canada	GCA_002995905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/995/905/GCF_002995905.1_ASM299590v1			na
GCF_002995915.1	PRJNA224116	SAMN08049243	PHOJ00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-71-2		latest	Contig	Major	Full	2018/03/14	ASM299591v1	Public Health Agency of Canada	GCA_002995915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/995/915/GCF_002995915.1_ASM299591v1			na
GCF_002995935.1	PRJNA224116	SAMN08049242	PHOK00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-66		latest	Contig	Major	Full	2018/03/14	ASM299593v1	Public Health Agency of Canada	GCA_002995935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/995/935/GCF_002995935.1_ASM299593v1			na
GCF_002995965.1	PRJNA224116	SAMN08049236	PHOQ00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-54		latest	Contig	Major	Full	2018/03/14	ASM299596v1	Public Health Agency of Canada	GCA_002995965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/995/965/GCF_002995965.1_ASM299596v1			na
GCF_002995985.1	PRJNA224116	SAMN08049230	PHOW00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-250		latest	Contig	Major	Full	2018/03/14	ASM299598v1	Public Health Agency of Canada	GCA_002995985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/995/985/GCF_002995985.1_ASM299598v1			na
GCF_002996005.1	PRJNA224116	SAMN08049233	PHOT00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-47		latest	Contig	Major	Full	2018/03/14	ASM299600v1	Public Health Agency of Canada	GCA_002996005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/005/GCF_002996005.1_ASM299600v1			na
GCF_002996025.1	PRJNA224116	SAMN08049231	PHOV00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-268		latest	Contig	Major	Full	2018/03/14	ASM299602v1	Public Health Agency of Canada	GCA_002996025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/025/GCF_002996025.1_ASM299602v1			na
GCF_002996045.1	PRJNA224116	SAMN08049229	PHOX00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-249		latest	Contig	Major	Full	2018/03/14	ASM299604v1	Public Health Agency of Canada	GCA_002996045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/045/GCF_002996045.1_ASM299604v1			na
GCF_002996065.1	PRJNA224116	SAMN08049227	PHOZ00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-198		latest	Contig	Major	Full	2018/03/14	ASM299606v1	Public Health Agency of Canada	GCA_002996065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/065/GCF_002996065.1_ASM299606v1			na
GCF_002996085.1	PRJNA224116	SAMN08049226	PHPA00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-193-2		latest	Contig	Major	Full	2018/03/14	ASM299608v1	Public Health Agency of Canada	GCA_002996085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/085/GCF_002996085.1_ASM299608v1			na
GCF_002996105.1	PRJNA224116	SAMN08049219	PHPH00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-178-2		latest	Contig	Major	Full	2018/03/14	ASM299610v1	Public Health Agency of Canada	GCA_002996105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/105/GCF_002996105.1_ASM299610v1			na
GCF_002996125.1	PRJNA224116	SAMN08049221	PHPF00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-182		latest	Contig	Major	Full	2018/03/14	ASM299612v1	Public Health Agency of Canada	GCA_002996125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/125/GCF_002996125.1_ASM299612v1			na
GCF_002996145.1	PRJNA224116	SAMN08049217	PHPJ00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-175		latest	Contig	Major	Full	2018/03/14	ASM299614v1	Public Health Agency of Canada	GCA_002996145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/145/GCF_002996145.1_ASM299614v1			na
GCF_002996165.1	PRJNA224116	SAMN08049216	PHPK00000000.1	na	139	139	Borreliella burgdorferi	strain=Bb16-174		latest	Contig	Major	Full	2018/03/14	ASM299616v1	Public Health Agency of Canada	GCA_002996165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/165/GCF_002996165.1_ASM299616v1			na
